date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:40:50	64115/64115	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:10:49%20GMT	https://www.bizgurukul.com/Biz/bundel/MarketingMastery	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/Biz/bundel/MarketingMastery.html	(from https://www.bizgurukul.com/)
18:40:51	102039/102039	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:10:50%20GMT	https://www.bizgurukul.com/biz/bundel_courses/DigitalMarketing	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/DigitalMarketing.html	(from https://www.bizgurukul.com/)
18:40:52	77228/77228	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:10:51%20GMT	https://www.bizgurukul.com/Biz/bundel/brandingmastery	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/Biz/bundel/brandingmastery.html	(from https://www.bizgurukul.com/)
18:40:53	98768/98768	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:10:52%20GMT	https://www.bizgurukul.com/biz/bundel_courses/PersonalityDevelopment	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/PersonalityDevelopment.html	(from https://www.bizgurukul.com/)
18:40:54	101219/101219	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:10:53%20GMT	https://www.bizgurukul.com/biz/bundel_courses/MillionaireSuccessBluePrint	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/MillionaireSuccessBluePrint.html	(from https://www.bizgurukul.com/)
18:40:55	93343/93343	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:10:54%20GMT	https://www.bizgurukul.com/biz/bundel_courses/VideoSuperstar	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/VideoSuperstar.html	(from https://www.bizgurukul.com/)
18:40:56	90308/90308	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:10:55%20GMT	https://www.bizgurukul.com/biz/bundel_courses/MessengerMarketing	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/MessengerMarketing.html	(from https://www.bizgurukul.com/)
18:40:57	91435/91435	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:10:56%20GMT	https://www.bizgurukul.com/biz/bundel_courses/InstagramMasterminds	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/InstagramMasterminds.html	(from https://www.bizgurukul.com/)
18:40:58	103953/103953	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:10:57%20GMT	https://www.bizgurukul.com/biz/bundel_courses/SpokenEnglish	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/SpokenEnglish.html	(from https://www.bizgurukul.com/)
18:40:59	143745/143745	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:10:58%20GMT	https://www.bizgurukul.com/biz/bundel_courses/AffiliateMarketing	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/AffiliateMarketing.html	(from https://www.bizgurukul.com/)
18:41:00	80420/80420	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:10:59%20GMT	https://www.bizgurukul.com/Biz/bundel/trafficmastery	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/Biz/bundel/trafficmastery.html	(from https://www.bizgurukul.com/)
18:41:01	107143/107143	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:00%20GMT	https://www.bizgurukul.com/biz//bundel_courses/AdvancedInstagram	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/AdvancedInstagram.html	(from https://www.bizgurukul.com/)
18:41:02	101804/101804	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:02%20GMT	https://www.bizgurukul.com/biz/bundel_courses/FacebookAdsMastermind	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/FacebookAdsMastermind.html	(from https://www.bizgurukul.com/)
18:41:02	95278/95278	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:02%20GMT	https://www.bizgurukul.com/biz/bundel_courses/YoutubeMastermind	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/YoutubeMastermind.html	(from https://www.bizgurukul.com/)
18:41:04	97091/97091	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:03%20GMT	https://www.bizgurukul.com/biz/bundel_courses/GoogleAds	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/GoogleAds.html	(from https://www.bizgurukul.com/)
18:41:05	94975/94975	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:04%20GMT	https://www.bizgurukul.com/biz/bundel_courses/ExcelMastery	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/ExcelMastery.html	(from https://www.bizgurukul.com/)
18:41:06	115136/115136	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:05%20GMT	https://www.bizgurukul.com/biz/bundel_courses/EmailMarketing	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/EmailMarketing.html	(from https://www.bizgurukul.com/)
18:41:07	113835/113835	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:06%20GMT	https://www.bizgurukul.com/biz/bundel_courses/LinkedIn	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/LinkedIn.html	(from https://www.bizgurukul.com/)
18:41:08	94971/94971	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:07%20GMT	https://www.bizgurukul.com/biz/bundel_courses/MsWord	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/MsWord.html	(from https://www.bizgurukul.com/)
18:41:09	97150/97150	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:08%20GMT	https://www.bizgurukul.com/biz/bundel_courses/MsPowerPoint	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/MsPowerPoint.html	(from https://www.bizgurukul.com/)
18:41:10	82343/82343	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:09%20GMT	https://www.bizgurukul.com/Biz/bundel/influencemastery	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/Biz/bundel/influencemastery.html	(from https://www.bizgurukul.com/)
18:41:11	112915/112915	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:10%20GMT	https://www.bizgurukul.com/biz/bundel_courses/MasterPublicSpeaker	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/MasterPublicSpeaker.html	(from https://www.bizgurukul.com/)
18:41:12	101835/101835	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:11%20GMT	https://www.bizgurukul.com/biz/bundel_courses/CopywritingMastermind	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/CopywritingMastermind.html	(from https://www.bizgurukul.com/)
18:41:13	99049/99049	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:12%20GMT	https://www.bizgurukul.com/biz/bundel_courses/ContentWriting	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/ContentWriting.html	(from https://www.bizgurukul.com/)
18:41:14	123168/123168	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:13%20GMT	https://www.bizgurukul.com/biz/bundel_courses/Podcast	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/Podcast.html	(from https://www.bizgurukul.com/)
18:41:15	117067/117067	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:14%20GMT	https://www.bizgurukul.com/biz/bundel_courses/SalesMastery	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/SalesMastery.html	(from https://www.bizgurukul.com/)
18:41:16	101217/101217	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:15%20GMT	https://www.bizgurukul.com/biz/bundel_courses/BecomeBestSelling	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/BecomeBestSelling.html	(from https://www.bizgurukul.com/)
18:41:17	110008/110008	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:16%20GMT	https://www.bizgurukul.com/biz/bundel_courses/AdvanceInstagram_Mastermind	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/AdvanceInstagram_Mastermind.html	(from https://www.bizgurukul.com/)
18:41:18	79357/79357	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:17%20GMT	https://www.bizgurukul.com/Biz/bundel/FinanceMastery	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/Biz/bundel/FinanceMastery.html	(from https://www.bizgurukul.com/)
18:41:19	142235/142235	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:18%20GMT	https://www.bizgurukul.com/biz/bundel_courses/StockMarketMastery	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/bundel_courses/StockMarketMastery.html	(from https://www.bizgurukul.com/)
18:41:20	65035/65035	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:19%20GMT	https://www.bizgurukul.com/Biz/aboutus	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/Biz/aboutus.html	(from https://www.bizgurukul.com/)
18:41:21	142578/142578	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:20%20GMT	https://www.bizgurukul.com/Biz/career	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/Biz/career.html	(from https://www.bizgurukul.com/)
18:41:22	72185/72185	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:21%20GMT	https://www.bizgurukul.com/Biz/contactus	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/Biz/contactus.html	(from https://www.bizgurukul.com/)
18:41:23	100273/100273	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:22%20GMT	https://www.bizgurukul.com/Biz/BecomeAnInst	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/Biz/BecomeAnInst.html	(from https://www.bizgurukul.com/)
18:41:24	79614/79614	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:23%20GMT	https://www.bizgurukul.com/Biz/BecomeAnAffiliate	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/Biz/BecomeAnAffiliate.html	(from https://www.bizgurukul.com/)
18:41:26	173056/173056	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:24%20GMT	https://www.bizgurukul.com/content-creation-course.aspx	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/content-creation-course.html	(from https://www.bizgurukul.com/)
18:41:26	435169/435169	---M--	200	added ('OK')	image/jpeg	etag:%2241954baf80cad91:0%22	https://www.bizgurukul.com/biz/IntsProg/img/ccc_banner_mob.jpg?v=1.0	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/IntsProg/img/ccc_banner_mobc619.jpg	(from https://www.bizgurukul.com/)
18:41:26	99671/99671	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:26%20GMT	https://www.bizgurukul.com/signup	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/signup.html	(from https://www.bizgurukul.com/)
18:41:28	63779/63779	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:11:27%20GMT	https://www.bizgurukul.com/login	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/login.html	(from https://www.bizgurukul.com/)
18:41:28	36521/36521	---M-Z	200	added ('OK')	application/javascript	etag:%221697c4a297cd81:0%22	https://www.bizgurukul.com/Biz/css/dist/skins/zuck.min.js?v=1.1	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/Biz/css/dist/skins/zuck.minf9e3.js	(from https://www.bizgurukul.com/)
18:41:29	1768/1768	---M-Z	200	added ('OK')	application/javascript	etag:%22b3fac3a297cd81:0%22	https://www.bizgurukul.com/Biz/css/dist/skins/script.js?v=1.1	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/Biz/css/dist/skins/scriptf9e3.js	(from https://www.bizgurukul.com/)
18:41:30	7481/7481	---M--	200	added ('OK')	image/png	etag:%227ce7fdc94badd81:0%22	https://www.bizgurukul.com/biz/img/bag.png	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/img/bag.png	(from https://www.bizgurukul.com/)
18:41:32	97163/97163	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	https://www.bizgurukul.com//bizgurukul1/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://www.bizgurukul.com/)
18:41:33	39680/39680	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:00%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.4.1/js/bootstrap.min.js	https://www.bizgurukul.com//bizgurukul1/maxcdn.bootstrapcdn.com/bootstrap/3.4.1/js/bootstrap.min.js	(from https://www.bizgurukul.com/)
18:41:33	1721/1721	---M-Z	200	added ('OK')	text/css	etag:%223237c3a297cd81:0%22	https://www.bizgurukul.com/Biz/css/carouselhomeflag.css	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/Biz/css/carouselhomeflag.css	(from https://www.bizgurukul.com/)
18:41:35	16273/16273	---M-Z	200	added ('OK')	text/css	etag:%224a99e5cf6cfd91:0%22	https://www.bizgurukul.com/Biz/css/homenew.css?v=1.6	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/Biz/css/homenew3cc5.css	(from https://www.bizgurukul.com/)
18:41:35	123794/123794	---MCZ	200	added ('OK')	text/css	etag:%22a3bc6319013da1:0%22	https://www.bizgurukul.com/Biz/css/index.css?v=5.2	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/Biz/css/index17e6.css	(from https://www.bizgurukul.com/)
18:41:36	3020/3020	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-bcc%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.1.1/assets/owl.carousel.min.css	https://www.bizgurukul.com//bizgurukul1/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.1.1/assets/owl.carousel.min.css	(from https://www.bizgurukul.com/)
18:41:38	1206/1206	---MC-	200	added ('OK')	text/css	date:Tue,%2021%20Nov%202023%2013:11:37%20GMT	https://fonts.googleapis.com/css2?family=Roboto:wght@100;300;400;500;700;900&display=swap	https://www.bizgurukul.com//bizgurukul1/fonts.googleapis.com/css2bff7.css	(from https://www.bizgurukul.com/)
18:41:38	25254/25254	---M-Z	200	added ('OK')	text/css	etag:%2260c32345-b96%22	https://cdnjs.cloudflare.com/ajax/libs/intl-tel-input/17.0.13/css/intlTelInput.css	https://www.bizgurukul.com//bizgurukul1/cdnjs.cloudflare.com/ajax/libs/intl-tel-input/17.0.13/css/intlTelInput.css	(from https://www.bizgurukul.com/)
18:41:40	1170/1170	---MC-	200	added ('OK')	text/css	date:Tue,%2021%20Nov%202023%2013:11:39%20GMT	https://fonts.googleapis.com/css2?family=Josefin+Sans:wght@300;400;500;600;700&display=swap	https://www.bizgurukul.com//bizgurukul1/fonts.googleapis.com/css23405.css	(from https://www.bizgurukul.com/)
18:41:41	29962/29962	---M-Z	200	added ('OK')	application/javascript	etag:%2260c32345-2b55%22	https://cdnjs.cloudflare.com/ajax/libs/intl-tel-input/17.0.13/js/intlTelInput-jquery.min.js	https://www.bizgurukul.com//bizgurukul1/cdnjs.cloudflare.com/ajax/libs/intl-tel-input/17.0.13/js/intlTelInput-jquery.min.js	(from https://www.bizgurukul.com/)
18:41:42	202204/202204	---M--	200	added ('OK')	image/jpeg	etag:%22aaf096f6cfd91:0%22	https://www.bizgurukul.com/Biz/img/new_skill_banner.jpg?v=1.0	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/Biz/img/new_skill_bannerc619.jpg	(from https://www.bizgurukul.com/)
